country_code,indicator,year,value,source,confidence_tier
BRA,gdp_pc_ppp,2025,23433.2897595431,World Bank NY.GDP.PCAP.PP.CD,A
BRA,health_exp_pc_usd,2023,1009.83563232,World Bank SH.XPD.CHEX.PC.CD,A
BRA,oop_health_pct,2023,26.23070717,World Bank SH.XPD.OOPC.CH.ZS,A
BRA,pop_0014_pct,2025,19.3866212827208,World Bank SP.POP.0014.TO.ZS,A
BRA,population_total,2025,212812405,World Bank SP.POP.TOTL,A
CHN,gdp_pc_ppp,2025,29333.3311051433,World Bank NY.GDP.PCAP.PP.CD,A
CHN,health_exp_pc_usd,2023,763.37762451,World Bank SH.XPD.CHEX.PC.CD,A
CHN,oop_health_pct,2023,32.17354584,World Bank SH.XPD.OOPC.CH.ZS,A
CHN,pop_0014_pct,2025,15.4072909264023,World Bank SP.POP.0014.TO.ZS,A
CHN,population_total,2025,1406585000,World Bank SP.POP.TOTL,A
DEU,gdp_pc_ppp,2025,75406.6888111618,World Bank NY.GDP.PCAP.PP.CD,A
DEU,health_exp_pc_usd,2024,6849.26367188,World Bank SH.XPD.CHEX.PC.CD,A
DEU,oop_health_pct,2024,10.7067318,World Bank SH.XPD.OOPC.CH.ZS,A
DEU,pop_0014_pct,2025,13.8859014629835,World Bank SP.POP.0014.TO.ZS,A
DEU,population_total,2025,83491249,World Bank SP.POP.TOTL,A
DNK,gdp_pc_ppp,2025,83218.071525634,World Bank NY.GDP.PCAP.PP.CD,A
DNK,health_exp_pc_usd,2024,6745.06152344,World Bank SH.XPD.CHEX.PC.CD,A
DNK,oop_health_pct,2024,13.86858845,World Bank SH.XPD.OOPC.CH.ZS,A
DNK,pop_0014_pct,2025,15.5619810189309,World Bank SP.POP.0014.TO.ZS,A
DNK,population_total,2025,6009169,World Bank SP.POP.TOTL,A
FRA,gdp_pc_ppp,2025,63975.353585864,World Bank NY.GDP.PCAP.PP.CD,A
FRA,health_exp_pc_usd,2024,5327.43359375,World Bank SH.XPD.CHEX.PC.CD,A
FRA,oop_health_pct,2024,9.22742558,World Bank SH.XPD.OOPC.CH.ZS,A
FRA,pop_0014_pct,2025,16.2248746749936,World Bank SP.POP.0014.TO.ZS,A
FRA,population_total,2025,68720337,World Bank SP.POP.TOTL,A
GBR,gdp_pc_ppp,2025,64606.4955066338,World Bank NY.GDP.PCAP.PP.CD,A
GBR,health_exp_pc_usd,2024,5860.23925781,World Bank SH.XPD.CHEX.PC.CD,A
GBR,oop_health_pct,2024,14.55540943,World Bank SH.XPD.OOPC.CH.ZS,A
GBR,pop_0014_pct,2025,16.9647729892849,World Bank SP.POP.0014.TO.ZS,A
GBR,population_total,2025,69487000,World Bank SP.POP.TOTL,A
IND,gdp_pc_ppp,2025,11747.9160436011,World Bank NY.GDP.PCAP.PP.CD,A
IND,health_exp_pc_usd,2023,84.68669891,World Bank SH.XPD.CHEX.PC.CD,A
IND,oop_health_pct,2023,43.88510513,World Bank SH.XPD.OOPC.CH.ZS,A
IND,pop_0014_pct,2025,24.1952667831956,World Bank SP.POP.0014.TO.ZS,A
IND,population_total,2025,1463865525,World Bank SP.POP.TOTL,A
USA,gdp_pc_ppp,2025,90026.5163005744,World Bank NY.GDP.PCAP.PP.CD,A
USA,health_exp_pc_usd,2023,13473.19335938,World Bank SH.XPD.CHEX.PC.CD,A
USA,oop_health_pct,2023,10.92723846,World Bank SH.XPD.OOPC.CH.ZS,A
USA,pop_0014_pct,2025,17.0990415161586,World Bank SP.POP.0014.TO.ZS,A
USA,population_total,2025,341784857,World Bank SP.POP.TOTL,A
