country_code,indicator,indicator_kind,value,label,source,source_url,vintage_year,confidence_tier
USA,obesity_prevalence_adult,prevalence,0.429,"Adult obesity prevalence (BMI >= 30), age-standardised, both sexes",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
USA,obesity_prevalence_male,prevalence,0.416,"Adult obesity prevalence, male",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
USA,obesity_prevalence_female,prevalence,0.441,"Adult obesity prevalence, female",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
USA,obesity_prevalence_crude,prevalence,0.424,"Adult obesity prevalence, crude (not age-standardised)",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
USA,overweight_prevalence_adult,prevalence,0.736,"Adult overweight prevalence (BMI >= 25), age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
USA,obesity_prevalence_child,prevalence,0.214,Child and adolescent obesity prevalence (ages 5-19),WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
USA,diabetes_prevalence,prevalence,0.113,"Diabetes prevalence among adults, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
USA,diabetes_treatment_coverage,coverage,0.684,Share of adults with diabetes receiving treatment,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
USA,hypertension_prevalence,prevalence,0.325,"Hypertension prevalence among adults aged 30-79, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
USA,tfa_policy_status,policy,,Mandatory Limit,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
GBR,obesity_prevalence_adult,prevalence,0.28,"Adult obesity prevalence (BMI >= 30), age-standardised, both sexes",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
GBR,obesity_prevalence_male,prevalence,0.272,"Adult obesity prevalence, male",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
GBR,obesity_prevalence_female,prevalence,0.288,"Adult obesity prevalence, female",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
GBR,obesity_prevalence_crude,prevalence,0.286,"Adult obesity prevalence, crude (not age-standardised)",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
