country_code,cagr,source
USA,0.0294,"World Bank SH.STA.DIAB.ZS (Diabetes prevalence % of population 20-79, sourced from IDF Diabetes Atlas): 9.4% (2011) to 13.7% (2024), CAGR over 13 years. https://api.worldbank.org/v2/country/USA/indicator/SH.STA.DIAB.ZS"
GBR,0.0275,"World Bank SH.STA.DIAB.ZS: 5.2% (2011) to 7.4% (2024), CAGR over 13 years. https://api.worldbank.org/v2/country/GBR/indicator/SH.STA.DIAB.ZS"
DEU,0.0302,"World Bank SH.STA.DIAB.ZS: 5.3% (2011) to 7.8% (2024), CAGR over 13 years. https://api.worldbank.org/v2/country/DEU/indicator/SH.STA.DIAB.ZS"
FRA,0.0144,"World Bank SH.STA.DIAB.ZS: 5.4% (2011) to 6.5% (2024), CAGR over 13 years. https://api.worldbank.org/v2/country/FRA/indicator/SH.STA.DIAB.ZS"
ITA,0.0322,"World Bank SH.STA.DIAB.ZS: 5.1% (2011) to 7.7% (2024), CAGR over 13 years. https://api.worldbank.org/v2/country/ITA/indicator/SH.STA.DIAB.ZS"
ESP,0.0338,"World Bank SH.STA.DIAB.ZS: 6.3% (2011) to 9.7% (2024), CAGR over 13 years. https://api.worldbank.org/v2/country/ESP/indicator/SH.STA.DIAB.ZS"
JPN,0.0039,"World Bank SH.STA.DIAB.ZS: 7.7% (2011) to 8.1% (2024), CAGR over 13 years. https://api.worldbank.org/v2/country/JPN/indicator/SH.STA.DIAB.ZS"
CHN,0.0235,"World Bank SH.STA.DIAB.ZS: 8.8% (2011) to 11.9% (2024), CAGR over 13 years. https://api.worldbank.org/v2/country/CHN/indicator/SH.STA.DIAB.ZS"
BRA,0.0037,"World Bank SH.STA.DIAB.ZS: 10.1% (2011) to 10.6% (2024), CAGR over 13 years. https://api.worldbank.org/v2/country/BRA/indicator/SH.STA.DIAB.ZS"
IND,0.0119,"World Bank SH.STA.DIAB.ZS: 9.0% (2011) to 10.5% (2024), CAGR over 13 years. https://api.worldbank.org/v2/country/IND/indicator/SH.STA.DIAB.ZS"
