subgroup_code,country_code,share_of_diagnosed,eligible_factor,confidence_tier,source
diabesity,USA,0.42145,0.75,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
diabesity,GBR,0.45714,0.75,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
diabesity,DEU,0.48,0.75,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
diabesity,CAN,0.48,0.75,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
diabesity,AUS,0.34211,0.75,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
diabesity,IND,0.48,0.75,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
diabesity,CHN,0.48,0.75,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
diabesity,BRA,0.48,0.75,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
diabesity,MEX,0.48,0.75,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
diabesity,FRA,0.48,0.75,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
cvd_mace_risk,USA,0.245,0.68,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
cvd_mace_risk,GBR,0.245,0.68,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
