country_name,iso_code,who_region,adult_obesity_age_std_both_sexes_pct,adult_obesity_male_pct,adult_obesity_female_pct,adult_obesity_crude_both_sexes_pct,adult_overweight_age_std_both_sexes_pct,adult_overweight_male_pct,adult_overweight_female_pct,child_adolescent_overweight_pct,child_adolescent_obesity_pct,diabetes_prevalence_age_std_pct,diabetes_treatment_coverage_pct,hypertension_prevalence_age_std_pct,tfa_policy_status
United States of America,USA,AMRO,42.9,41.6,44.1,42.4,73.6,77.2,70.1,39.8,21.4,11.3,68.4,32.5,Mandatory Limit
United Kingdom,GBR,EURO,28.0,27.2,28.8,28.6,64.0,68.5,59.6,31.2,11.8,8.0,78.5,27.8,Mandatory Limit
Germany,DEU,EURO,25.7,26.8,24.6,26.3,59.0,65.2,52.8,26.4,9.2,9.5,81.2,30.1,Mandatory Limit
Canada,CAN,AMRO,27.3,28.1,26.5,27.8,62.4,67.8,57.0,30.8,12.1,8.8,76.0,26.4,Mandatory Ban
Australia,AUS,WPRO,30.4,31.0,29.8,31.3,65.2,71.0,59.4,32.5,12.8,6.5,74.5,25.9,Voluntary Measures
India,IND,SEARO,9.8,8.1,11.5,7.4,24.0,22.8,25.2,12.4,3.9,10.4,42.1,31.0,Mandatory Limit
China,CHN,WPRO,14.1,15.2,13.0,13.6,38.8,41.5,36.1,22.0,8.4,11.2,52.0,27.5,Monitoring in Progress
Brazil,BRA,AMRO,28.8,26.5,31.0,28.1,57.5,60.1,54.9,33.1,14.3,8.8,64.2,34.0,Mandatory Limit
Mexico,MEX,AMRO,36.1,31.8,40.2,35.8,68.2,66.5,69.8,35.4,17.5,15.8,58.0,29.5,Mandatory Limit
France,FRA,EURO,21.6,22.0,21.2,22.2,56.4,63.2,49.8,24.1,7.8,6.8,82.5,26.2,Mandatory Limit
