country_name,iso_code,normalized_population,adult_obesity_prevalence_pct,total_obese_prevalent_cases,subgroup_1_diabesity_cases,subgroup_1_clinically_eligible,subgroup_2_cvd_mace_risk_cases,subgroup_2_clinically_eligible,subgroup_3_htn_osa_cases,subgroup_3_clinically_eligible,subgroup_4_severe_obesity_class2_3_cases,subgroup_4_clinically_eligible
United States of America,USA,1000000,42.9,429000,180800,135600,105105,71471,230051,165637,137280,116688
United Kingdom,GBR,1000000,28.0,280000,128000,96000,68600,46648,128436,92474,89600,76160
Germany,DEU,1000000,25.7,257000,123360,92520,62965,42816,127639,91900,82240,69904
Canada,CAN,1000000,27.3,273000,131040,98280,66885,45482,118919,85622,87360,74256
Australia,AUS,1000000,30.4,304000,104000,78000,74480,50646,129914,93538,97280,82688
India,IND,1000000,9.8,98000,47040,35280,24010,16327,50127,36091,31360,26656
China,CHN,1000000,14.1,141000,67680,50760,34545,23491,63979,46065,45120,38352
Brazil,BRA,1000000,28.8,288000,138240,103680,70560,47981,161568,116329,92160,78336
Mexico,MEX,1000000,36.1,361000,173280,129960,88445,60143,175717,126516,115520,98192
France,FRA,1000000,21.6,216000,103680,77760,52920,35986,93377,67231,69120,58752
